#{"t_start": 1634989009.620602, "env_id": null}
r,l,t
0.15,5,981.046677
0.15,5,984.38019
0.21,6,988.162734
0.06,3,990.178889
0.15,5,993.329146
0.1,4,995.962509
0.1,4,998.645883
0.15,5,1001.84451
0.1,4,1004.461655
0.36,8,1009.312195
0.78,12,1015.34494
0.1,4,1024.412771
0.1,4,1026.878848
0.1,4,1029.312039
0.1,4,1031.994176
0.06,3,1034.077948
0.28,7,1038.411203
0.15,5,1041.377794
0.15,5,1044.378257
0.45,9,1049.826887
0.15,5,1053.060133
0.1,4,1055.69406
0.1,4,1058.12759
0.15,5,1061.442328
0.1,4,1063.859779
0.1,4,1066.476044
0.06,3,1068.542578
0.21,6,1072.32654
0.1,4,1074.760728
0.21,6,1078.21055
0.28,7,1082.143019
0.1,4,1084.725933
0.15,5,1087.693182
0.45,9,1093.091714
0.1,4,1095.775252
0.15,5,1098.741812
0.15,5,1101.725923
0.1,4,1104.142317
0.15,5,1107.091577
0.1,4,1109.707819
0.1,4,1112.125521
0.36,8,1116.957628
0.21,6,1120.307657
0.28,7,1124.208293
0.55,10,1129.758276
0.15,5,1132.742965
0.1,4,1135.174289
0.21,6,1138.889299
0.15,5,1141.824343
0.15,5,1144.79026
0.1,4,1147.156367
0.06,3,1149.239287
0.36,8,1153.989241
0.1,4,1156.42372
0.1,4,1159.056597
0.21,6,1162.540251
0.15,5,1165.908701
0.15,5,1169.192734
0.15,5,1172.438267
0.1,4,1175.039094
0.1,4,1177.404947
0.36,8,1182.122102
0.21,6,1185.854279
0.21,6,1189.604751
0.1,4,1192.237671
0.45,9,1197.671239
0.06,3,1199.773884
0.1,4,1202.221721
0.15,5,1205.40387
0.21,6,1208.938978
0.1,4,1211.570251
0.1,4,1214.170337
0.1,4,1216.786371
0.36,8,1221.536316
0.21,6,1225.203454
0.1,4,1227.78642
0.28,7,1231.870625
0.06,3,1233.952744
0.15,5,1237.119898
0.1,4,1239.553084
0.28,7,1243.8525
0.1,4,1246.436147
0.15,5,1249.652237
0.1,4,1252.366615
0.36,8,1257.519934
0.15,5,1260.702397
0.06,3,1262.818921
0.1,4,1265.418469
0.45,9,1273.002127
0.1,4,1275.401433
0.1,4,1277.768679
0.15,5,1280.934447
0.1,4,1283.584805
0.1,4,1286.251101
0.15,5,1289.417205
0.28,7,1293.63442
0.15,5,1296.850981
0.06,3,1298.900213
0.1,4,1301.500655
0.1,4,1304.167084
0.28,7,1308.217356
0.1,4,1310.834008
0.06,3,1312.899793
0.1,4,1315.534445
0.21,6,1319.300194
0.15,5,1322.500246
0.21,6,1326.267086
0.28,7,1330.665971
0.1,4,1333.298512
0.1,4,1335.683938
0.06,3,1337.799412
0.21,6,1347.866271
0.1,4,1350.549008
0.21,6,1354.148067
0.28,7,1358.48214
0.06,3,1360.581051
0.21,6,1364.315473
0.21,6,1368.064804
0.28,7,1372.415252
0.06,3,1374.531636
