#{"t_start": 1634989009.620602, "env_id": null}
r,l,t
2.31,21,5280.460649
1.53,17,5289.424123
1.05,14,5296.643652
1.71,18,5305.677851
1.2,15,5313.643477
2.1,20,5324.260357
1.53,17,5333.358675
1.05,14,5340.941737
1.2,15,5349.124925
1.05,14,5356.823795
0.91,13,5363.657296
1.71,18,5373.323381
1.2,15,5381.406828
1.53,17,5390.588234
0.91,13,5397.688
1.71,18,5407.45342
1.2,15,5415.45499
2.1,20,5426.3197
1.36,16,5442.002517
0.91,13,5449.801716
0.78,12,5456.968607
1.2,15,5465.767521
0.78,12,5473.000489
0.21,6,5476.416742
1.2,15,5484.567575
0.78,12,5491.216492
1.2,15,5499.398427
0.91,13,5506.464865
5.28,32,5523.130857
1.2,15,5531.18023
0.45,9,5535.947365
1.2,15,5543.796948
2.1,20,5554.328861
1.36,16,5562.845107
1.36,16,5571.696993
1.05,14,5579.365004
1.05,14,5587.035155
0.91,13,5594.088561
3.25,25,5607.340844
0.91,13,5614.443423
1.71,18,5624.261706
1.36,16,5632.864671
2.1,20,5643.649286
2.1,20,5654.38554
0.66,11,5660.303601
1.53,17,5669.555763
0.91,13,5676.623861
1.2,15,5684.525314
0.78,12,5691.60971
2.53,22,5703.344719
0.55,10,5708.71193
1.9,19,5718.748542
1.05,14,5726.431651
1.2,15,5734.300559
1.2,15,5742.467624
0.78,12,5748.885852
1.2,15,5756.869922
0.66,11,5762.654208
1.2,15,5770.788388
0.36,8,5775.655399
1.2,15,5783.92368
2.1,20,5794.540962
1.05,14,5802.125301
1.36,16,5810.760337
0.55,10,5816.110999
4.06,28,5833.094421
4.35,29,5848.29599
2.76,23,5860.148906
5.95,34,5877.648368
2.1,20,5888.182979
0.91,13,5895.434541
1.36,16,5904.60097
3.51,26,5918.233981
2.1,20,5928.854719
2.76,23,5941.086305
4.96,31,5957.303586
18.91,61,5988.439281
8.61,41,6009.607355
3.78,27,6023.906379
5.95,34,6041.640403
67.86,116,6100.842032
3.0,24,6114.625605
0.91,13,6121.476022
3.25,25,6134.576769
4.35,29,6149.809783
8.2,40,6170.494476
2.31,21,6181.712754
3.51,26,6195.360658
1.05,14,6202.97558
1.53,17,6212.226565
3.51,26,6225.992921
17.7,59,6256.160856
1.71,18,6265.577689
1.9,19,6275.710578
0.78,12,6282.044096
1.53,17,6291.093739
3.25,25,6304.243428
1.9,19,6314.476351
2.53,22,6326.15933
1.71,18,6335.527565
4.96,31,6351.69526
1.05,14,6359.260393
1.71,18,6368.576359
42.78,92,6415.191733
0.55,10,6420.409149
6.66,36,6438.975613
3.78,27,6453.075859
1.53,17,6462.258575
1.9,19,6472.274964
0.66,11,6477.992045
2.31,21,6488.841948
1.53,17,6497.893594
5.95,34,6515.507604
1.53,17,6524.592829
2.1,20,6535.407897
8.2,40,6557.690176
3.25,25,6571.590841
0.55,10,6577.522715
4.96,31,6600.291147
1.9,19,6610.409918
3.78,27,6624.576588
2.1,20,6635.060227
17.11,58,6664.811857
1.2,15,6672.926506
0.36,8,6677.193412
1.9,19,6687.178982
1.9,19,6697.295355
4.96,31,6713.578935
2.1,20,6724.262867
1.53,17,6733.380824
2.53,22,6745.113789
0.91,13,6752.313268
4.06,28,6766.864258
1.53,17,6775.97848
1.71,18,6786.54522
2.53,22,6799.564554
0.91,13,6806.633501
1.71,18,6816.26498
2.1,20,6826.983548
5.95,34,6844.749635
1.2,15,6852.817782
3.0,24,6865.334097
4.96,31,6881.467687
1.53,17,6890.734873
1.71,18,6900.385823
9.9,44,6925.484167
850.78,412,7134.855748
265.65,230,7250.839116
1.05,14,7258.621091
161.1,179,7348.937953
3.51,26,7362.455578
2.1,20,7372.971683
47.53,97,7421.971732
2660.85,729,7791.936772
35.7,84,7834.153646
2.1,20,7844.669819
15.4,55,7872.968601
2.1,20,7883.603316
32.4,80,7924.069629
21471232.15,65530,41152.35093
3.25,25,41165.701479
2.53,22,41177.620422
10.81,46,41204.183346
0.78,12,41210.86787
